Designator,Mid X,Mid Y,Layer,Rotation
C_BOOT,51.70,43.60,top,270.00
C_BOOT_B,3.65,30.40,top,90.00
C_CP,23.50,7.50,top,90.00
C_EN,45.85,31.25,top,270.00
C_FF,16.32,31.70,top,270.00
C_IN1,5.97,32.95,top,0.00
C_IN2,10.90,25.85,top,0.00
C_IN_BULK,12.70,20.10,top,180.00
C_MCU1,41.45,27.50,top,90.00
C_MCU2,12.85,51.58,top,0.00
C_MCU3,25.16,21.34,top,0.00
C_MCU4,27.82,21.34,top,0.00
C_MCU_BULK,12.70,35.40,top,0.00
C_OUT1,8.20,48.60,top,0.00
C_OUT2,5.40,36.30,top,0.00
C_SENS,7.63,11.55,top,90.00
C_V3P3,25.70,7.45,top,270.00
C_VBUS,41.02,19.40,top,0.00
C_VCP,17.90,15.75,top,90.00
C_VM1,30.90,19.30,top,90.00
C_VM2,28.62,3.12,top,270.00
C_VM_BULK,34.30,13.21,top,270.00
D_CLC,1.90,29.70,top,90.00
D_CLW,1.90,34.45,top,90.00
D_MCU,31.62,21.57,top,0.00
D_OR_USB,40.50,11.35,top,90.00
D_Q1,15.70,8.90,top,0.00
D_USB,46.13,23.86,top,180.00
F1,22.20,3.20,top,0.00
J_BTN,52.65,37.00,top,90.00
J_EXP,38.77,35.38,top,90.00
J_KNOB,52.65,27.90,top,90.00
J_LED,2.75,42.90,top,270.00
J_MOTOR,38.60,3.70,top,0.00
J_PROG,41.42,40.45,top,90.00
J_PWR,12.10,3.60,top,0.00
J_SENSOR,3.50,16.70,top,270.00
J_USB,52.90,14.40,top,90.00
L1,10.95,30.68,top,0.00
LED_STATUS,20.90,21.70,top,0.00
Q1,9.95,9.60,top,180.00
Q_CW,10.34,44.65,top,180.00
Q_WW,10.41,40.00,top,180.00
R_AZ_A,16.10,39.40,top,270.00
R_AZ_B,16.10,42.40,top,270.00
R_AZ_C,16.10,45.40,top,270.00
R_BOOT,51.70,46.50,top,270.00
R_CC1,41.10,15.80,top,180.00
R_CC2,41.10,17.60,top,180.00
R_DM,41.02,21.18,top,180.00
R_DP,47.55,30.07,top,90.00
R_EN,43.85,31.25,top,270.00
R_ENB,16.18,28.00,top,90.00
R_EN_DRV,17.43,12.00,top,90.00
R_FBB,13.20,27.80,top,0.00
R_FBT,9.70,27.80,top,0.00
R_GC,14.62,42.70,top,270.00
R_GW,13.95,39.15,top,270.00
R_NFAULT,35.55,21.60,top,180.00
R_NRESET,21.20,7.50,top,90.00
R_NSLEEP,38.20,20.20,top,180.00
R_PDC,12.90,48.88,top,90.00
R_PDW,7.00,39.03,top,90.00
R_Q1,15.40,12.05,top,90.00
R_STATUS,20.90,19.80,top,180.00
SW_BOOT,45.70,45.05,top,90.00
SW_RST,45.73,37.05,top,270.00
TVS1,10.85,14.30,top,0.00
U_BUCK,6.15,28.25,top,0.00
U_DRV,24.25,14.18,top,90.00
U_MCU,27.27,38.00,top,0.00
